method,path,tag,handler,file,line
POST,/api/v1/diagnostic/submit,diagnostic,submit_diagnostic,backend/app/api/v1/routes/diagnostic.py,60
POST,/api/v1/execute,execute,execute_code,backend/app/api/v1/routes/execute.py,50
GET,/api/v1/exercises,exercises,list_exercises,backend/app/api/v1/routes/exercises.py,52
GET,/api/v1/exercises/interleaving/suggestion,exercises,get_interleaving_suggestion,backend/app/api/v1/routes/exercises.py,275
GET,/api/v1/exercises/peer-reviews/pending,exercises,get_pending_peer_reviews,backend/app/api/v1/routes/exercises.py,329
POST,/api/v1/exercises/peer-reviews/{assignment_id},exercises,submit_peer_review,backend/app/api/v1/routes/exercises.py,344
GET,/api/v1/exercises/submissions/{submission_id},exercises,get_submission,backend/app/api/v1/routes/exercises.py,60
GET,/api/v1/exercises/submissions/{submission_id}/peer-reviews,exercises,get_submission_peer_reviews,backend/app/api/v1/routes/exercises.py,371
PATCH,/api/v1/exercises/submissions/{submission_id}/share,exercises,update_share_settings,backend/app/api/v1/routes/exercises.py,300
GET,/api/v1/exercises/{exercise_id},exercises,get_exercise,backend/app/api/v1/routes/exercises.py,85
GET,/api/v1/exercises/{exercise_id}/difficulty-recommendation,exercises,get_difficulty_recommendation,backend/app/api/v1/routes/exercises.py,247
GET,/api/v1/exercises/{exercise_id}/peer-gallery,exercises,get_peer_gallery,backend/app/api/v1/routes/exercises.py,168
GET,/api/v1/exercises/{exercise_id}/scaffold-envelope,exercises,get_scaffold_envelope,backend/app/api/v1/routes/exercises.py,185
GET,/api/v1/exercises/{exercise_id}/solution,exercises,get_exercise_solution,backend/app/api/v1/routes/exercises.py,106
GET,/api/v1/exercises/{exercise_id}/submissions/mine,exercises,list_my_submissions,backend/app/api/v1/routes/exercises.py,73
POST,/api/v1/exercises/{exercise_id}/submit,exercises,submit_exercise,backend/app/api/v1/routes/exercises.py,154
GET,/api/v1/exercises/{exercise_id}/worked-example,exercises,get_worked_example,backend/app/api/v1/routes/exercises.py,215
POST,/api/v1/feedback,feedback,submit_feedback,backend/app/api/v1/routes/feedback.py,27
GET,/api/v1/feedback/admin,feedback,list_feedback,backend/app/api/v1/routes/feedback.py,46
PATCH,/api/v1/feedback/admin/{feedback_id}/resolve,feedback,resolve_feedback,backend/app/api/v1/routes/feedback.py,58
POST,/api/v1/format,format,format_code,backend/app/api/v1/routes/format.py,108
GET,/api/v1/goals/me,goals,get_my_goal,backend/app/api/v1/routes/goals.py,27
PATCH,/api/v1/goals/me,goals,patch_my_goal,backend/app/api/v1/routes/goals.py,55
POST,/api/v1/goals/me,goals,upsert_my_goal,backend/app/api/v1/routes/goals.py,41
GET,/api/v1/interview/problems,interview,list_problems,backend/app/api/v1/routes/interview.py,166
GET,/api/v1/interview/sessions,interview,list_interview_sessions,backend/app/api/v1/routes/interview.py,417
POST,/api/v1/interview/sessions/answer,interview,submit_answer,backend/app/api/v1/routes/interview.py,364
