path_template,method,caller_file,caller_line,via_helper
/api/v1/exercises/{*},GET,frontend/src/lib/api-client.ts,403,wrapper
/api/v1/exercises/{*}/solution,GET,frontend/src/lib/api-client.ts,413,wrapper
/api/v1/exercises/{*}/submit,POST,frontend/src/lib/api-client.ts,424,wrapper
/api/v1/feedback,POST,frontend/src/components/features/feedback-widget.tsx,17,fetch
/api/v1/feedback/admin,GET,frontend/src/lib/hooks/use-admin.ts,177,direct
/api/v1/feedback/admin/{*}/resolve,PATCH,frontend/src/lib/hooks/use-admin.ts,185,direct
/api/v1/format,POST,frontend/src/components/features/studio/code-editor.tsx,84,fetch
/api/v1/format,POST,frontend/src/components/features/studio/code-editor.tsx,116,fetch
/api/v1/goals/me,GET,frontend/src/lib/api-client.ts,464,wrapper
/api/v1/goals/me,POST,frontend/src/lib/api-client.ts,466,wrapper
/api/v1/interview/problems,GET,frontend/src/lib/api-client.ts,780,wrapper
/api/v1/interview/sessions,GET,frontend/src/lib/hooks/use-interview.ts,103,direct
/api/v1/interview/sessions/answer,POST,frontend/src/lib/hooks/use-interview.ts,82,direct
/api/v1/interview/sessions/start,POST,frontend/src/lib/hooks/use-interview.ts,71,direct
/api/v1/interview/sessions/{*}/complete,POST,frontend/src/lib/hooks/use-interview.ts,90,direct
/api/v1/interview/start,POST,frontend/src/lib/api-client.ts,782,wrapper
/api/v1/interview/stories,GET,frontend/src/lib/hooks/use-interview.ts,112,direct
/api/v1/interview/stories,POST,frontend/src/lib/hooks/use-interview.ts,119,direct
/api/v1/interview/stories/{*},DELETE,frontend/src/lib/hooks/use-interview.ts,129,direct
/api/v1/interview/stream,POST,frontend/src/app/(portal)/interview/page.tsx,136,fetch
/api/v1/interview/{*},DELETE,frontend/src/lib/api-client.ts,791,wrapper
/api/v1/interview/{*}/debrief,POST,frontend/src/lib/api-client.ts,786,wrapper
/api/v1/lessons/{*},GET,frontend/src/lib/api-client.ts,340,wrapper
/api/v1/lessons/{*}/resources,GET,frontend/src/lib/api-client.ts,342,wrapper
